2025-10-20 05:13:36,329 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'cc316793-4d48-58b6-965f-06fc8a6433e4', 'Date': 'Mon, 20 Oct 2025 05:13:36 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:13:56,383 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '761968c3-35ef-5348-9ecc-09acf2af6e1e', 'Date': 'Mon, 20 Oct 2025 05:13:56 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:14:16,411 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '162dd540-8dbc-5ed0-9d5e-b42f4ae80944', 'Date': 'Mon, 20 Oct 2025 05:14:16 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:14:36,440 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '22f96ac9-84f0-5b95-b50d-0ba6439805b8', 'Date': 'Mon, 20 Oct 2025 05:14:36 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:14:56,468 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '4ab34545-50ff-5eb7-adec-242a97830f58', 'Date': 'Mon, 20 Oct 2025 05:14:56 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:15:16,494 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '4d67b005-64a8-5c94-9a61-d16aa338ce8c', 'Date': 'Mon, 20 Oct 2025 05:15:16 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:15:36,523 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '31b72384-1c44-574b-a9e3-42ebdbe052b9', 'Date': 'Mon, 20 Oct 2025 05:15:36 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:15:56,551 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '08459972-707f-58e4-b462-f81db7c78b10', 'Date': 'Mon, 20 Oct 2025 05:15:56 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:16:16,579 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'a89c12ae-5bc7-540b-a7f1-73c19c0b535e', 'Date': 'Mon, 20 Oct 2025 05:16:16 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:16:36,606 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '4edc4b11-92d5-5cd3-8acf-2a7e55358398', 'Date': 'Mon, 20 Oct 2025 05:16:36 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:16:56,631 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '13092506-a487-5d48-aa1f-4469637389a4', 'Date': 'Mon, 20 Oct 2025 05:16:56 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:17:16,658 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '31d5b679-8a5b-5feb-9364-d7164253df24', 'Date': 'Mon, 20 Oct 2025 05:17:16 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:17:36,685 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '735a3f66-7504-505f-a628-5e09bd18f130', 'Date': 'Mon, 20 Oct 2025 05:17:36 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:17:56,711 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '07531486-bced-58ae-b4e1-75e974dda6a1', 'Date': 'Mon, 20 Oct 2025 05:17:56 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:18:16,741 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'dbc998ae-907f-5f20-86f1-f9c1583b1e6b', 'Date': 'Mon, 20 Oct 2025 05:18:16 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:18:36,769 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'a5ab6412-5285-5050-acfa-057d9add111e', 'Date': 'Mon, 20 Oct 2025 05:18:36 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-10-20 05:18:56,798 [DEBUG] Response: 200 https://sqs.us-east-2.amazonaws.com/124386531466/2d9500eeba5502fa39c1e469bf486e7d7c6a9a19f03ed2a4058984f8bf4e17a7/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'bb99d82c-5e9a-53f9-8877-b94396f6c22a', 'Date': 'Mon, 20 Oct 2025 05:18:56 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
