2025/10/08 09:30:01.652015 [INFO] Log Publish not set, skipping...
2025/10/08 09:50:01.710585 [INFO] Log Publish not set, skipping...
2025/10/08 10:10:01.047039 [INFO] Log Publish not set, skipping...
2025/10/08 10:30:01.069939 [INFO] Log Publish not set, skipping...
2025/10/08 10:50:01.117013 [INFO] Log Publish not set, skipping...
2025/10/08 11:10:01.280736 [INFO] Log Publish not set, skipping...
2025/10/08 11:30:01.330152 [INFO] Log Publish not set, skipping...
2025/10/08 11:50:01.364375 [INFO] Log Publish not set, skipping...
2025/10/08 12:10:01.755437 [INFO] Log Publish not set, skipping...
2025/10/08 12:30:01.795048 [INFO] Log Publish not set, skipping...
2025/10/08 12:50:01.916100 [INFO] Log Publish not set, skipping...
2025/10/08 13:10:01.315873 [INFO] Log Publish not set, skipping...
2025/10/08 13:30:01.340203 [INFO] Log Publish not set, skipping...
2025/10/08 13:50:01.371839 [INFO] Log Publish not set, skipping...
2025/10/08 14:10:01.022144 [INFO] Log Publish not set, skipping...
2025/10/08 14:30:01.037376 [INFO] Log Publish not set, skipping...
2025/10/08 14:50:01.054223 [INFO] Log Publish not set, skipping...
2025/10/08 15:10:01.241047 [INFO] Log Publish not set, skipping...
2025/10/08 15:30:01.310997 [INFO] Log Publish not set, skipping...
2025/10/08 15:50:01.342530 [INFO] Log Publish not set, skipping...
2025/10/08 16:10:01.631295 [INFO] Log Publish not set, skipping...
2025/10/08 16:30:01.677485 [INFO] Log Publish not set, skipping...
2025/10/08 16:50:01.715176 [INFO] Log Publish not set, skipping...
2025/10/08 17:10:01.031731 [INFO] Log Publish not set, skipping...
2025/10/08 17:30:01.049572 [INFO] Log Publish not set, skipping...
2025/10/08 17:50:01.068029 [INFO] Log Publish not set, skipping...
2025/10/08 18:10:01.257455 [INFO] Log Publish not set, skipping...
2025/10/08 18:30:01.305376 [INFO] Log Publish not set, skipping...
2025/10/08 18:50:01.341360 [INFO] Log Publish not set, skipping...
2025/10/08 19:10:01.761972 [INFO] Log Publish not set, skipping...
2025/10/08 19:30:01.802798 [INFO] Log Publish not set, skipping...
2025/10/08 19:50:01.841076 [INFO] Log Publish not set, skipping...
2025/10/08 20:10:01.237222 [INFO] Log Publish not set, skipping...
2025/10/08 20:30:01.290614 [INFO] Log Publish not set, skipping...
2025/10/08 20:50:01.312468 [INFO] Log Publish not set, skipping...
2025/10/08 21:10:01.761871 [INFO] Log Publish not set, skipping...
2025/10/08 21:30:01.797031 [INFO] Log Publish not set, skipping...
2025/10/08 21:50:01.825798 [INFO] Log Publish not set, skipping...
2025/10/08 22:10:01.192277 [INFO] Log Publish not set, skipping...
2025/10/08 22:30:01.216726 [INFO] Log Publish not set, skipping...
2025/10/08 22:50:01.245637 [INFO] Log Publish not set, skipping...
2025/10/08 23:10:01.763756 [INFO] Log Publish not set, skipping...
2025/10/08 23:30:01.825240 [INFO] Log Publish not set, skipping...
2025/10/08 23:50:01.877943 [INFO] Log Publish not set, skipping...
2025/10/09 00:10:01.462155 [INFO] Log Publish not set, skipping...
2025/10/09 00:30:01.504546 [INFO] Log Publish not set, skipping...
2025/10/09 00:50:01.535926 [INFO] Log Publish not set, skipping...
2025/10/09 01:10:01.234667 [INFO] Log Publish not set, skipping...
2025/10/09 01:30:01.266677 [INFO] Log Publish not set, skipping...
2025/10/09 01:50:01.302790 [INFO] Log Publish not set, skipping...
2025/10/09 02:10:01.661222 [INFO] Log Publish not set, skipping...
2025/10/09 02:30:01.701945 [INFO] Log Publish not set, skipping...
2025/10/09 02:50:01.744527 [INFO] Log Publish not set, skipping...
2025/10/09 03:10:01.136205 [INFO] Log Publish not set, skipping...
2025/10/09 03:30:01.171037 [INFO] Log Publish not set, skipping...
2025/10/09 03:50:01.193962 [INFO] Log Publish not set, skipping...
2025/10/09 04:10:01.515068 [INFO] Log Publish not set, skipping...
2025/10/09 04:30:01.547865 [INFO] Log Publish not set, skipping...
2025/10/09 04:50:01.570869 [INFO] Log Publish not set, skipping...
2025/10/09 05:10:01.965495 [INFO] Log Publish not set, skipping...
2025/10/09 05:30:02.004066 [INFO] Log Publish not set, skipping...
2025/10/09 05:50:01.023765 [INFO] Log Publish not set, skipping...
2025/10/09 06:10:01.167816 [INFO] Log Publish not set, skipping...
2025/10/09 06:30:01.201389 [INFO] Log Publish not set, skipping...
2025/10/09 06:50:01.221924 [INFO] Log Publish not set, skipping...
2025/10/09 07:10:01.694619 [INFO] Log Publish not set, skipping...
2025/10/09 07:30:01.728842 [INFO] Log Publish not set, skipping...
2025/10/09 07:50:01.758828 [INFO] Log Publish not set, skipping...
2025/10/09 08:10:01.340221 [INFO] Log Publish not set, skipping...
2025/10/09 08:30:01.371942 [INFO] Log Publish not set, skipping...
2025/10/09 08:50:01.419682 [INFO] Log Publish not set, skipping...
2025/10/09 09:10:01.849422 [INFO] Log Publish not set, skipping...
2025/10/09 09:30:01.892762 [INFO] Log Publish not set, skipping...
2025/10/09 09:50:02.018834 [INFO] Log Publish not set, skipping...
2025/10/09 10:10:01.145235 [INFO] Log Publish not set, skipping...
2025/10/09 10:30:01.166327 [INFO] Log Publish not set, skipping...
2025/10/09 10:50:01.204785 [INFO] Log Publish not set, skipping...
2025/10/09 11:10:01.510739 [INFO] Log Publish not set, skipping...
2025/10/09 11:30:01.556727 [INFO] Log Publish not set, skipping...
2025/10/09 11:50:01.597147 [INFO] Log Publish not set, skipping...
2025/10/09 12:10:01.074012 [INFO] Log Publish not set, skipping...
2025/10/09 12:30:01.094234 [INFO] Log Publish not set, skipping...
2025/10/09 12:50:01.110508 [INFO] Log Publish not set, skipping...
2025/10/09 13:10:01.350051 [INFO] Log Publish not set, skipping...
2025/10/09 13:30:01.380809 [INFO] Log Publish not set, skipping...
2025/10/09 13:50:01.441161 [INFO] Log Publish not set, skipping...
2025/10/09 14:10:01.856020 [INFO] Log Publish not set, skipping...
2025/10/09 14:30:01.909731 [INFO] Log Publish not set, skipping...
2025/10/09 14:50:01.952495 [INFO] Log Publish not set, skipping...
2025/10/09 15:10:01.378501 [INFO] Log Publish not set, skipping...
2025/10/09 15:30:01.417974 [INFO] Log Publish not set, skipping...
2025/10/09 15:50:01.461132 [INFO] Log Publish not set, skipping...
2025/10/09 16:10:01.886719 [INFO] Log Publish not set, skipping...
2025/10/09 16:30:01.935951 [INFO] Log Publish not set, skipping...
2025/10/09 16:50:01.974853 [INFO] Log Publish not set, skipping...
2025/10/09 17:10:01.283761 [INFO] Log Publish not set, skipping...
2025/10/09 17:30:01.310004 [INFO] Log Publish not set, skipping...
2025/10/09 17:50:01.332659 [INFO] Log Publish not set, skipping...
2025/10/09 18:10:01.812859 [INFO] Log Publish not set, skipping...
2025/10/09 18:30:01.851214 [INFO] Log Publish not set, skipping...
2025/10/09 18:50:01.895798 [INFO] Log Publish not set, skipping...
2025/10/09 19:10:01.188195 [INFO] Log Publish not set, skipping...
2025/10/09 19:30:01.219577 [INFO] Log Publish not set, skipping...
2025/10/09 19:50:01.261633 [INFO] Log Publish not set, skipping...
2025/10/09 20:10:01.628892 [INFO] Log Publish not set, skipping...
2025/10/09 20:30:01.680189 [INFO] Log Publish not set, skipping...
2025/10/09 20:50:01.710403 [INFO] Log Publish not set, skipping...
2025/10/09 21:10:01.062315 [INFO] Log Publish not set, skipping...
2025/10/09 21:30:01.093286 [INFO] Log Publish not set, skipping...
2025/10/09 21:50:01.121991 [INFO] Log Publish not set, skipping...
